state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease
AL,82366,583033,0,1598,9893,379,1094,180,584,32510,B,1491,9893,663342,39620,407151,80309,1446,45,1251,6189,665399,665399,7440,665399,0,199
AR,40181,449725,0,501,2686,379,759,110,377,33188,A,428,2686,489906,39620,407151,40181,1900,149,734,4281,489906,489906,5015,489906,20,62
AS,0,1037,0,961,5109,379,759,180,197,0,C,0,5109,485619,39620,407151,0,1900,149,0,0,1037,1037,0,1037,0,0
AZ,165934,724997,0,2564,9394,814,759,574,197,21626,A+,3408,9394,890931,39620,407151,137710,2431,152,2107,10491,890931,890931,12598,890931,104,1643
CA,466550,6951316,0,8317,5109,2198,759,180,197,0,B,8518,5109,7417866,39620,407151,466550,1900,149,6000,115288,7417866,7417866,121288,7417866,73,0
CO,44565,455865,0,359,6271,379,759,180,197,5212,A,1668,6271,485619,39620,407151,41400,1900,149,229,2413,500430,500430,2642,500430,7,3
CT,49077,703611,0,54,10712,379,759,180,197,8516,B,4423,10712,750700,39620,407151,47089,3541,882,94,7543,752688,752688,7637,752688,5,0
DC,11945,166077,0,106,5109,20,759,9,197,9664,A+,583,5109,485619,39620,407151,38775,1900,149,87,3787,178022,178022,3874,178022,1,0
DE,14476,160147,0,62,5109,14,759,180,197,8076,A+,580,5109,485619,39620,407151,13480,510,70,70,1494,174623,174623,1564,174623,1,0
FL,441977,3038322,3017,8992,25280,379,759,180,197,0,A,6240,25280,4485040,555415,3912374,441977,6240,149,9230,39572,3483316,3480299,48802,3480299,191,590
GA,175052,1312274,0,3157,17544,379,3236,180,197,0,A,3563,17544,1487326,160824,1326502,175052,1900,149,4209,30154,1487326,1487326,34363,1487326,54,406
GU,349,20443,0,5,5109,2,759,180,197,291,B,5,5109,20773,39620,407151,341,1900,149,3,308,20792,20792,311,20792,0,0
HI,1711,112432,0,39,165,379,759,180,197,1191,D,26,165,143791,39620,407151,38775,1900,149,28,0,114143,114143,28,114143,0,2
IA,42777,414658,0,253,5109,75,759,31,197,30623,A+,839,5109,485619,39620,407151,42777,1900,149,223,2367,457435,457435,2590,457435,6,0
ID,18694,152023,0,209,750,40,224,180,197,5964,A,152,750,169588,39620,407151,17565,130,22,517,2206,170717,170717,2723,170717,6,9
IL,174973,2396734,0,1383,5109,329,759,128,197,0,A,7638,5109,2570465,39620,407151,173731,7446,192,1076,27255,2571707,2571707,28331,2571707,30,0
IN,63678,653131,0,907,8505,304,1772,69,197,44548,A+,2924,8505,485619,39620,407151,38775,2725,199,771,8247,716809,716809,9018,716809,18,61
KS,26172,252764,0,212,1644,58,465,24,171,1108,A+,335,1644,485619,39620,407151,38775,1900,149,0,0,278936,278936,0,278936,0,0
KY,28126,529587,0,584,3279,115,1132,180,197,7470,B,719,3279,485619,39620,407151,26656,715,4,525,9738,557713,557713,10263,557713,10,3
LA,111038,1165266,0,1583,5109,379,759,214,197,61456,A,3812,5109,485619,39620,407151,38775,3700,112,1121,15161,1276304,1276304,16282,1276304,26,0
MA,116182,1024934,0,364,11855,54,759,27,197,96452,A+,8551,11855,1468395,39620,407151,108740,8331,220,256,9703,1141116,1141116,9959,1141116,15,22
MD,85524,782732,0,544,12389,150,759,180,197,5592,A,3458,12389,1144696,39620,407151,85524,3327,131,648,12090,868256,868256,12738,868256,11,50
ME,3838,155262,0,12,384,7,759,2,197,3319,A+,121,384,158695,4786,153711,3433,120,1,6,1653,159100,159100,1659,159100,2,1
MI,87958,1639924,0,670,5109,195,759,135,197,57502,A+,6421,5109,1751875,111951,1639924,79176,6170,251,785,26608,1727882,1727882,27393,1727882,16,0
MN,52281,927707,0,294,5028,138,1474,180,197,45987,A,1620,5028,979988,39620,407151,52281,1580,40,478,8784,979988,979988,9262,979988,4,67
MO,42101,610823,0,797,5109,379,759,112,197,0,B,1213,5109,846657,50511,794773,42101,1900,149,-949,11969,652924,652924,11020,652924,12,0
MP,40,11719,0,961,4,379,759,180,197,29,D,2,4,12745,39620,407151,40,2,149,0,0,11759,11759,0,11759,0,0
MS,54299,378834,0,1184,4103,288,759,169,197,35071,A+,1543,4103,432422,39620,407151,53588,1504,39,1342,4194,433133,433133,5536,433133,42,71
MT,3475,157933,0,62,205,379,759,180,197,2104,C,51,205,485619,39620,407151,3475,1900,149,94,2659,161408,161408,2753,161408,4,4
NC,116087,1547453,0,1244,5109,364,759,180,197,92302,A+,1820,5109,485619,39620,407151,116087,1820,149,1749,26315,1663540,1663540,28064,1663540,30,0
ND,6141,143905,0,35,343,379,759,180,197,4957,C,92,343,297512,39620,407151,6141,88,4,155,1525,150046,150046,1680,150046,1,6
NE,24899,236204,0,117,1587,379,759,180,197,18520,A,317,1587,485619,39620,407151,24899,1900,149,281,1995,261103,261103,2276,261103,1,17
NH,6500,149583,0,21,690,379,202,180,197,5688,B,409,690,485619,39620,407151,6500,1900,149,64,2410,156083,156083,2474,156083,0,2
NJ,180295,1804009,0,718,21321,112,759,50,197,32313,A+,15825,21321,485619,39620,407151,180295,13905,1920,483,-20,1984304,1984304,463,1984304,21,0
NM,19502,509388,0,159,2590,379,759,180,197,7459,B,619,2590,485619,39620,407151,19502,1900,149,460,7712,528890,528890,8172,528890,5,30
NV,44936,405950,0,1147,5109,319,759,191,197,1054,A+,759,5109,585736,39620,407151,44936,1900,149,1105,5102,450886,450886,6207,450886,20,0
NY,412878,5271668,0,648,89995,152,759,81,197,72813,A,25126,89995,485619,39620,407151,412878,1900,149,534,56863,5684546,5684546,57397,5684546,9,0
OH,86497,1312236,0,1144,10425,363,2488,176,197,61056,B,3382,10425,485619,39620,407151,81896,3118,264,1320,53315,1398733,1398733,54635,1398733,38,140
OK,33775,555351,0,596,2987,207,759,180,197,26363,A+,509,2987,595277,38785,555351,33775,1900,149,1089,19723,589126,589126,20812,589126,13,115
OR,17416,370240,0,230,1537,58,759,31,197,3736,A+,303,1537,485619,39620,370240,16546,1900,149,328,4762,387656,387656,5090,387656,14,23
PA,109384,1059776,0,716,5109,379,759,98,197,82038,A+,7146,5109,485619,39620,407151,106331,1900,149,1120,17352,1169160,1169160,18472,1169160,24,0
PR,15840,305972,0,469,5109,66,759,37,197,0,B,209,5109,310546,7002,303412,5585,104,105,409,0,321812,321812,409,321812,8,0
RI,18725,182235,0,68,2182,10,759,7,197,1803,A+,1005,2182,352500,27247,325253,18725,1900,149,210,4132,200960,200960,4342,200960,1,8
SC,84109,586221,0,1575,5117,401,759,256,197,32859,A+,1565,5117,669941,105449,564492,83720,1505,60,1692,9737,670330,670330,11429,670330,59,290
SD,8492,98999,0,49,808,379,759,180,197,7474,B,123,808,485619,39620,407151,38775,1900,149,48,616,107491,107491,664,107491,0,2
TN,96489,1314963,0,1420,4280,379,759,180,197,57239,A,978,4280,1410396,113557,1296839,95433,943,35,0,0,1411452,1411452,0,1411452,0,0
TX,394265,3082661,0,9593,5109,3136,759,180,197,244449,A,5877,5109,3476926,39620,407151,394265,1900,149,8342,39702,3476926,3476926,48044,3476926,164,0
UT,38855,475654,0,233,2295,90,592,180,240,25905,A+,286,2295,613190,39620,407151,38855,1900,149,446,4205,514509,514509,4651,514509,5,42
VA,86994,972416,436,1294,12844,261,759,153,197,11550,A+,2095,12844,1056148,39620,407151,83732,1991,104,922,19277,1059846,1059410,20199,1059410,13,704
VI,375,8295,37,961,5109,379,759,180,197,292,C,7,5109,485619,39620,407151,38775,7,149,11,262,8707,8670,273,8670,0,0
VT,1405,90456,0,18,5109,379,759,180,197,1194,B,56,5109,485619,39620,407151,1405,56,149,3,1241,91861,91861,1244,91861,0,0
WA,53321,879983,0,386,5397,379,759,49,197,0,B,1518,5397,485619,39620,407151,53321,1518,149,686,13271,933304,933304,13957,933304,17,23
WI,54064,837567,110,246,4493,86,880,180,197,39513,A+,913,4493,485619,39620,407151,50179,906,7,783,13662,891741,891631,14445,891631,13,73
WV,6173,263671,0,94,5109,37,759,15,197,4481,B,111,5109,485619,39620,407151,6033,1900,149,119,3692,269844,269844,3811,269844,5,0
WY,2589,48191,0,15,162,379,759,180,197,1970,B,26,162,71866,2155,69710,2136,1900,149,69,2368,50780,50780,2437,50780,1,4
AK,3206,204162,0,38,5109,379,759,3,197,817,A,21,5109,207264,39620,407151,3206,21,149,104,0,207368,207368,104,207368,1,0
AL,81115,576844,0,1599,9694,379,1081,180,577,32510,B,1491,9694,655973,39620,407151,79129,1446,45,1821,6452,657959,657959,8273,657959,18,537
AR,39447,445444,0,489,2624,379,759,110,369,32365,A,408,2624,484891,39620,407151,39447,1900,149,824,6800,484891,484891,7624,484891,7,82
AS,0,1037,0,961,5109,379,759,180,197,0,C,0,5109,485619,39620,407151,0,1900,149,0,0,1037,1037,0,1037,0,0
AZ,163827,714506,0,2626,7751,820,759,567,197,21321,A+,3304,7751,878333,39620,407151,137710,2431,152,1813,9417,878333,878333,11230,878333,-1,45
CA,460550,6836028,0,8820,5109,2284,759,180,197,0,B,8445,5109,7296578,39620,407151,460550,1900,149,6891,121548,7296578,7296578,128439,7296578,29,0
CO,44336,453452,0,365,6268,379,759,180,197,5182,A,1661,6268,485619,39620,407151,41174,1900,149,547,6845,497788,497788,7392,497788,0,7
CT,48983,696068,0,59,10712,379,759,180,197,8516,B,4418,10712,743062,39620,407151,46994,3536,882,207,31772,745051,745051,31979,745051,5,0
DC,11858,162290,0,102,5109,20,759,8,197,9639,A+,582,5109,485619,39620,407151,38775,1900,149,78,2472,174148,174148,2550,174148,1,0
DE,14406,158653,0,63,5109,18,759,180,197,8035,A+,579,5109,485619,39620,407151,13410,509,70,116,2950,173059,173059,3066,173059,0,0
FL,432747,2998750,2902,9098,24690,379,759,180,197,0,A,6049,24690,4411284,542920,3851809,432747,6049,149,8892,36102,3434399,3431497,44994,3431497,77,269
GA,170843,1282120,0,3181,17138,379,3172,180,197,0,A,3509,17138,1452963,156693,1296270,170843,1900,149,2890,21128,1452963,1452963,24018,1452963,11,47
GU,346,20135,0,4,5109,379,759,180,197,291,B,5,5109,20472,39620,407151,338,1900,149,9,440,20481,20481,449,20481,0,0
HI,1683,112432,0,26,163,379,759,180,197,1179,D,26,163,142900,39620,407151,38775,1900,149,63,0,114115,114115,63,114115,0,2
IA,42554,412291,0,241,5109,78,759,32,197,29873,A+,833,5109,485619,39620,407151,42554,1900,149,354,3892,454845,454845,4246,454845,6,0
ID,18177,149817,0,204,741,45,222,180,197,5731,A,146,741,166903,39620,407151,17086,125,21,350,1420,167994,167994,1770,167994,0,18
IL,173897,2369479,0,1417,5109,350,759,124,197,0,A,7608,5109,2542134,39620,407151,172655,7416,192,1231,29336,2543376,2543376,30567,2543376,18,0
IN,62907,644884,0,835,8444,291,1767,66,197,44124,A+,2906,8444,485619,39620,407151,38775,2709,197,535,5945,707791,707791,6480,707791,3,43
KS,26172,252764,0,212,1644,58,465,24,171,1108,A+,335,1644,485619,39620,407151,38775,1900,149,1063,-94,278936,278936,969,278936,9,48
KY,27601,519849,0,609,3276,131,1129,180,197,7466,B,709,3276,485619,39620,407151,26209,705,4,522,5030,547450,547450,5552,547450,9,10
LA,109917,1150105,0,1600,5109,379,759,208,197,61456,A,3786,5109,485619,39620,407151,38775,3674,112,2343,24415,1260022,1260022,26758,1260022,23,0
MA,115926,1015231,0,350,11833,57,759,28,197,96452,A+,8536,11833,1454584,39620,407151,108562,8317,219,289,10109,1131157,1131157,10398,1131157,7,5
MD,84876,770642,0,536,12339,145,759,180,197,5434,A,3447,12339,1120761,39620,407151,84876,3315,132,1128,15818,855518,855518,16946,855518,7,56
ME,3832,153609,0,13,383,8,759,3,197,3292,A+,119,383,157031,4766,152067,3422,118,1,18,2105,157441,157441,2123,157441,0,2
MI,87173,1613316,0,670,5109,195,759,113,197,57502,A+,6405,5109,1723892,110576,1613316,78507,6154,251,512,29233,1700489,1700489,29745,1700489,5,0
MN,51803,918923,0,257,4961,126,1458,180,197,45198,A,1616,4961,970726,39620,407151,51803,1576,40,650,12702,970726,970726,13352,970726,2,41
MO,43050,598854,0,1057,5109,379,759,159,197,0,B,1201,5109,830014,47812,780858,43050,1900,149,1123,13830,641904,641904,14953,641904,4,0
MP,40,11719,0,961,4,379,759,180,197,29,D,2,4,12745,39620,407151,40,2,149,0,419,11759,11759,419,11759,0,0
MS,52957,374640,0,1179,4032,304,759,166,197,35071,A+,1501,4032,426926,39620,407151,52286,1464,37,653,3851,427597,427597,4504,427597,6,50
MT,3381,155274,0,61,201,379,759,180,197,2090,C,47,201,485619,39620,407151,3381,1900,149,39,6301,158655,158655,6340,158655,1,2
NC,114338,1521138,0,1169,5109,352,759,180,197,92302,A+,1790,5109,485619,39620,407151,114338,1790,149,1625,20466,1635476,1635476,22091,1635476,5,0
ND,5986,142380,0,43,337,379,759,180,197,4829,C,91,337,293191,39620,407151,5986,87,4,110,1777,148366,148366,1887,148366,0,4
NE,24618,234209,0,109,1570,379,759,180,197,18097,A,316,1570,485619,39620,407151,24618,1900,149,223,3140,258827,258827,3363,258827,0,3
NH,6436,147173,0,20,688,379,200,180,197,5438,B,409,688,485619,39620,407151,6436,1900,149,0,0,153609,153609,0,153609,0,0
NJ,179812,1804029,0,695,21321,128,759,54,197,32275,A+,15804,21321,485619,39620,407151,179812,13884,1920,449,30103,1983841,1983841,30552,1983841,17,7
NM,19042,501676,0,144,2560,379,759,180,197,7349,B,614,2560,485619,39620,407151,19042,1900,149,254,8039,520718,520718,8293,520718,7,18
NV,43831,400848,0,1112,5109,310,759,184,197,1019,A+,739,5109,575427,39620,407151,43831,1900,149,988,4760,444679,444679,5748,444679,5,0
NY,412344,5214805,0,642,89995,149,759,84,197,72766,A,25117,89995,485619,39620,407151,412344,1900,149,608,56662,5627149,5627149,57270,5627149,11,0
OH,85177,1258921,0,1110,10285,356,2466,164,197,59413,B,3344,10285,485619,39620,407151,80628,3082,262,1104,16563,1344098,1344098,17667,1344098,37,86
OK,32686,535628,0,625,2872,225,759,180,197,25252,A+,496,2872,573185,36489,535628,32686,1900,149,1401,0,568314,568314,1401,568314,0,37
OR,17088,365478,0,237,1514,58,759,27,197,3684,A+,289,1514,485619,39620,365478,16240,1900,149,330,3761,382566,382566,4091,382566,0,40
PA,108264,1042424,0,704,5109,379,759,98,197,81198,A+,7122,5109,485619,39620,407151,105228,1900,149,839,13648,1150688,1150688,14487,1150688,4,0
PR,15431,305972,0,509,5109,66,759,37,197,0,B,201,5109,310546,7002,303412,5416,99,102,288,0,321403,321403,288,321403,0,0
RI,18515,178103,0,71,2174,8,759,6,197,1792,A+,1004,2174,345652,26961,318691,18515,1900,149,291,6299,196618,196618,6590,196618,2,28
SC,82417,576484,0,1668,4827,379,759,263,197,29378,A+,1506,4827,658555,103238,555317,82071,1452,54,1218,9870,658901,658901,11088,658901,15,0
SD,8444,98383,0,47,806,379,759,180,197,7404,B,123,806,485619,39620,407151,38775,1900,149,49,-148,106827,106827,-99,106827,0,5
TN,96489,1314963,0,1328,4280,379,759,180,197,57239,A,978,4280,1410396,113557,1296839,95433,943,35,2553,26047,1411452,1411452,28600,1411452,11,36
TX,385923,3042959,0,10893,5109,3281,759,180,197,229107,A,5713,5109,3428882,39620,407151,385923,1900,149,4267,54640,3428882,3428882,58907,3428882,675,0
UT,38409,471449,0,225,2253,83,580,180,239,25321,A+,281,2253,607008,39620,407151,38409,1900,149,436,4071,509858,509858,4507,509858,7,19
VA,86072,953139,379,1200,12140,260,759,140,197,10940,A+,2082,12140,1036010,39620,407151,82871,1978,104,1505,9466,1039590,1039211,10971,1039211,4,84
VI,364,8033,13,961,5109,379,759,180,197,250,C,7,5109,485619,39620,407151,38775,7,149,3,42,8410,8397,45,8397,0,0
VT,1402,89215,0,13,5109,379,759,180,197,1190,B,56,5109,485619,39620,407151,1402,56,149,2,806,90617,90617,808,90617,0,0
WA,52635,866712,0,396,5374,379,759,42,197,0,B,1501,5374,485619,39620,407151,52635,1501,149,786,14887,919347,919347,15673,919347,7,33
WI,53281,823905,104,250,4420,85,872,180,197,38633,A+,900,4420,485619,39620,407151,49417,893,7,601,6356,877290,877186,6957,877186,1,26
WV,6054,259979,0,85,5109,37,759,10,197,4332,B,106,5109,485619,39620,407151,5913,1900,149,94,4213,266033,266033,4307,266033,3,0
WY,2520,45823,0,17,158,379,759,180,197,1915,B,25,158,67700,2031,65669,2072,1900,149,45,0,48343,48343,45,48343,0,0
AK,3102,204162,0,43,5109,379,759,4,197,817,A,20,5109,207264,39620,407151,3102,20,149,234,1964,207264,207264,2198,207264,0,0
AL,79294,570392,0,1505,9157,379,1076,180,573,32510,B,1473,9157,647743,39620,407151,77351,1428,45,1164,6911,649686,649686,8075,649686,17,0
AR,38623,438644,0,479,2542,379,759,105,358,31622,A+,401,2542,477267,39620,407151,38623,1900,149,1374,14429,477267,477267,15803,477267,7,181
AS,0,1037,0,961,5109,379,759,180,197,0,C,0,5109,485619,39620,407151,0,1900,149,0,0,1037,1037,0,1037,0,0
AZ,162014,705089,0,2650,7706,837,759,581,197,20978,A+,3305,7706,867103,39620,407151,137710,2431,152,1973,7521,867103,867103,9494,867103,19,79
CA,453659,6714480,0,8820,5109,2284,759,180,197,0,B,8416,5109,7168139,39620,407151,453659,1900,149,8259,112525,7168139,7168139,120784,7168139,79,0
CO,43789,446607,0,338,6261,379,759,180,197,5158,A,1661,6261,485619,39620,407151,40628,1900,149,809,9843,490396,490396,10652,490396,0,34
CT,48776,664296,0,71,10712,379,759,180,197,8516,B,4413,10712,711102,39620,407151,46806,3531,882,0,0,713072,713072,0,713072,0,0
DC,11780,159818,0,85,5109,22,759,9,197,9607,A+,581,5109,485619,39620,407151,38775,1900,149,63,2526,171598,171598,2589,171598,0,0
DE,14290,155703,0,57,5109,9,759,180,197,7996,A+,579,5109,485619,39620,407151,13294,509,70,115,2956,169993,169993,3071,169993,0,0
FL,423855,2962648,2871,8951,24421,379,759,180,197,0,A,5972,24421,4340661,531369,3793442,423855,5972,149,9344,40782,3389374,3386503,50126,3386503,78,335
GA,167953,1260992,0,3079,17091,379,3168,180,197,0,A,3498,17091,1428945,153305,1275640,167953,1900,149,2765,18340,1428945,1428945,21105,1428945,3,62
GU,337,19695,0,1,5109,379,759,180,197,244,B,5,5109,19791,39620,407151,329,1900,149,0,0,20032,20032,0,20032,0,0
HI,1620,112432,0,29,161,379,759,180,197,1167,D,26,161,140442,39620,407151,38775,1900,149,71,1191,114052,114052,1262,114052,0,5
IA,42200,408399,0,226,5109,77,759,29,197,29625,A+,827,5109,485619,39620,407151,42200,1900,149,529,3807,450599,450599,4336,450599,1,0
ID,17827,148397,0,204,723,45,217,180,197,5483,A,146,723,165132,39620,407151,16735,125,21,563,2221,166224,166224,2784,166224,2,14
IL,172666,2340143,0,1394,5109,345,759,119,197,0,A,7590,5109,2511567,39620,407151,171424,7398,192,1541,39303,2512809,2512809,40844,2512809,1,0
IN,62372,638939,0,834,8401,282,1758,62,197,43809,A+,2903,8401,485619,39620,407151,38775,2706,197,852,10185,701311,701311,11037,701311,8,221
KS,25109,252858,0,315,1596,98,459,24,166,1077,A+,326,1596,485619,39620,407151,38775,1900,149,0,0,277967,277967,0,277967,0,0
KY,27079,514819,0,595,3266,132,1126,180,197,7421,B,700,3266,485619,39620,407151,25699,696,4,315,0,541898,541898,315,541898,4,0
LA,107574,1125690,0,1557,5109,379,759,184,197,61456,A,3763,5109,485619,39620,407151,38775,3651,112,3840,29698,1233264,1233264,33538,1233264,48,0
MA,115637,1005122,0,364,11828,56,759,30,197,96452,A+,8529,11828,1440717,39620,407151,108380,8310,219,369,9507,1120759,1120759,9876,1120759,19,15
MD,83748,754824,0,540,12283,153,759,180,197,5434,A,3440,12283,1097361,39620,407151,83748,3309,131,694,12552,838572,838572,13246,838572,7,95
ME,3814,151504,0,14,381,10,759,3,197,3284,A+,119,381,154912,4744,149972,3408,118,1,24,1921,155318,155318,1945,155318,0,2
MI,86661,1584083,0,680,5109,210,759,113,197,57502,A+,6400,5109,1693712,109629,1584083,78019,6149,251,1589,54509,1670744,1670744,56098,1670744,0,0
MN,51153,906221,0,273,4920,115,1448,180,197,44431,A,1614,4920,957374,39620,407151,51153,1574,40,862,15816,957374,957374,16678,957374,3,31
MO,41927,585024,0,1057,5109,379,759,159,197,0,B,1197,5109,806753,47784,757625,41927,1900,149,1218,6012,626951,626951,7230,626951,15,0
MP,40,11300,0,961,4,379,759,180,197,29,D,2,4,12745,39620,407151,40,2,149,1,0,11340,11340,1,11340,0,0
MS,52304,370789,0,1172,3982,295,759,159,197,30315,A+,1495,3982,421233,39620,407151,51639,1458,37,1207,0,423093,423093,1207,423093,15,0
MT,3342,148973,0,62,199,379,759,180,197,2079,C,46,199,485619,39620,407151,3342,1900,149,82,1218,152315,152315,1300,152315,0,4
NC,112713,1500672,0,1170,5109,350,759,180,197,78707,A+,1785,5109,485619,39620,407151,112713,1785,149,1621,32722,1613385,1613385,34343,1613385,7,0
ND,5876,140603,0,42,333,379,759,180,197,4752,C,91,333,288801,39620,407151,5876,87,4,140,2079,146479,146479,2219,146479,0,5
NE,24395,231069,0,103,1567,379,759,180,197,18097,A,316,1567,485619,39620,407151,24395,1900,149,221,2638,255464,255464,2859,255464,0,19
NH,6436,147173,0,20,688,379,200,180,197,5438,B,409,688,485619,39620,407151,6436,1900,149,21,1298,153609,153609,1319,153609,0,2
NJ,179363,1773926,0,725,21314,126,759,54,197,32133,A+,15787,21314,485619,39620,407151,179363,13867,1920,505,64627,1953289,1953289,65132,1953289,11,0
NM,18788,493637,0,148,2542,379,759,180,197,7268,B,607,2542,485619,39620,407151,18788,1900,149,313,6935,512425,512425,7248,512425,6,17
NV,42843,396088,0,1147,5109,314,759,180,197,994,A+,734,5109,566376,39620,407151,42843,1900,149,1027,7383,438931,438931,8410,438931,2,0
NY,411736,5158143,0,637,89995,155,759,90,197,72716,A,25106,89995,485619,39620,407151,411736,1900,149,536,53032,5569879,5569879,53568,5569879,3,0
OH,84073,1242358,0,1075,10199,357,2444,177,197,58465,B,3307,10199,485619,39620,407151,79573,3049,258,889,31720,1326431,1326431,32609,1326431,10,54
OK,31285,535628,0,625,2835,225,759,180,197,24698,A+,496,2835,573185,36489,535628,31285,1900,149,1204,0,566913,566913,1204,566913,0,67
OR,16758,361717,0,233,1474,58,759,30,197,3541,A+,289,1474,485619,39620,361717,15273,1900,149,266,4199,378475,378475,4465,378475,3,0
PA,107425,1028776,0,707,5109,379,759,104,197,80568,A+,7118,5109,485619,39620,407151,104401,1900,149,800,12071,1136201,1136201,12871,1136201,4,0
PR,15143,305972,0,496,5109,61,759,34,197,0,B,201,5109,310546,7002,303412,5236,99,102,603,0,321115,321115,603,321115,0,0
RI,18224,171804,0,66,2146,6,759,5,197,1769,A+,1002,2146,329556,26593,302963,18224,1900,149,0,0,190028,190028,0,190028,0,0
SC,81199,566614,0,1668,4827,379,759,263,197,29378,A+,1491,4827,647470,101570,545900,80856,1436,55,1191,8132,647813,647813,9323,647813,26,0
SD,8395,98531,0,48,801,379,759,180,197,7364,B,123,801,485619,39620,407151,38775,1900,149,90,923,106926,106926,1013,106926,1,3
TN,93936,1288916,0,1313,4244,379,759,180,197,54730,A,967,4244,1381859,110435,1271424,92943,933,34,3140,47338,1382852,1382852,50478,1382852,3,48
TX,381656,2988319,0,10893,5109,3281,759,180,197,229107,A,5038,5109,3369975,39620,407151,381656,1900,149,5810,58123,3369975,3369975,63933,3369975,153,0
UT,37973,467378,0,251,2234,83,577,180,239,24798,A+,274,2234,600765,39620,407151,37973,1900,149,350,4862,505351,505351,5212,505351,0,21
VA,84567,943673,393,1174,12056,268,759,143,197,10882,A+,2078,12056,1025066,39620,407151,81393,1975,103,958,16839,1028633,1028240,17797,1028240,3,55
VI,361,7991,20,961,5109,379,759,180,197,238,C,7,5109,485619,39620,407151,38775,7,149,9,90,8372,8352,99,8352,0,0
VT,1400,88409,0,10,5109,379,759,180,197,1186,B,56,5109,485619,39620,407151,1400,56,149,4,989,89809,89809,993,89809,0,0
WA,51849,851825,0,407,5341,379,759,51,197,0,B,1494,5341,485619,39620,407151,51849,1494,149,1025,18667,903674,903674,19692,903674,-1,40
WI,52680,817549,77,165,4394,64,870,180,197,37971,A+,899,4394,485619,39620,407151,48827,892,7,965,9021,870306,870229,9986,870229,1,26
WV,5960,255766,0,82,5109,35,759,11,197,4168,B,103,5109,485619,39620,407151,5825,1900,149,139,4673,261726,261726,4812,261726,0,0
WY,2475,45823,0,14,158,379,759,180,197,1883,B,25,158,67700,2031,65669,2029,1900,149,29,0,48298,48298,29,48298,0,0
AK,2868,202198,0,38,5109,379,759,2,197,815,A,20,5109,205066,39620,407151,2868,20,149,120,4374,205066,205066,4494,205066,1,0
AL,78130,563481,0,1425,9157,379,1069,180,567,32510,B,1456,9157,639795,39620,407151,76314,1413,43,2125,10502,641611,641611,12627,641611,18,0
AR,37249,424215,0,497,2361,379,759,109,329,29827,A+,394,2361,461464,39620,407151,37249,1900,149,0,0,461464,461464,0,461464,0,0
AS,0,1037,0,961,5109,379,759,180,197,0,C,0,5109,485619,39620,407151,0,1900,149,0,0,1037,1037,0,1037,0,0
AZ,160041,697568,0,2758,7627,842,759,594,197,20566,A+,3286,7627,857609,39620,407151,137710,2431,152,3740,17052,857609,857609,20792,857609,144,166
CA,445400,6601955,0,8820,5109,2284,759,180,197,0,B,8337,5109,7047355,39620,407151,445400,1900,149,10066,121413,7047355,7047355,131479,7047355,151,0
CO,42980,436764,0,357,6227,379,759,180,197,5133,A,1661,6227,485619,39620,407151,39822,1900,149,666,8201,479744,479744,8867,479744,16,78
CT,48776,664296,0,71,10712,379,759,180,197,8516,B,4413,10712,711102,39620,407151,46806,3531,882,0,0,713072,713072,0,713072,0,0
DC,11717,157292,0,97,5109,28,759,9,197,9603,A+,581,5109,485619,39620,407151,38775,1900,149,68,3681,169009,169009,3749,169009,0,0
DE,14175,152747,0,55,5109,11,759,180,197,7961,A+,579,5109,485619,39620,407151,13179,509,70,-27,2623,166922,166922,2596,166922,1,0
FL,414511,2921866,2850,9035,24086,379,759,180,197,0,A,5894,24086,4263177,519405,3728507,414511,5894,149,12199,47542,3339227,3336377,59741,3336377,126,511
GA,165188,1242652,0,3094,17029,379,3158,180,197,0,A,3495,17029,1407840,150626,1257214,165188,1900,149,3787,21609,1407840,1407840,25396,1407840,53,277
GU,337,19695,0,1,5109,379,759,180,197,244,B,5,5109,19791,39620,407151,329,1900,149,0,563,20032,20032,563,20032,0,0
HI,1549,111241,0,29,156,379,759,180,197,1148,D,26,156,138354,39620,407151,38775,1900,149,59,1440,112790,112790,1499,112790,0,1
IA,41671,404592,0,220,5109,72,759,28,197,29477,A+,826,5109,485619,39620,407151,41671,1900,149,400,3990,446263,446263,4390,446263,3,0
ID,17264,146176,0,204,709,45,210,180,197,5251,A,144,709,162384,39620,407151,16208,123,21,528,2719,163440,163440,3247,163440,6,12
IL,171125,2300840,0,1438,5109,341,759,110,197,0,A,7589,5109,2470723,39620,407151,169883,7397,192,1426,36774,2471965,2471965,38200,2471965,12,0
IN,61520,628754,0,824,8180,281,1736,63,197,43535,A+,2895,8180,485619,39620,407151,38775,2698,197,922,10603,690274,690274,11525,690274,11,52
KS,25109,252858,0,315,1596,98,459,24,166,1077,A+,326,1596,485619,39620,407151,38775,1900,149,0,0,277967,277967,0,277967,0,0
KY,26764,514819,0,595,3266,132,1126,180,197,7421,B,696,3266,485619,39620,407151,25390,692,4,833,7274,541583,541583,8107,541583,5,18
